,0,1,2,3
0,190,701,ＤＯＢｒｏｓ株式会社,7000
1,190,715,株式会社康工業,7000
2,190,723,株式会社カラーベース,7000
3,190,754,株式会社タナカホームズ,7000
4,190,771,株式会社Ｙ．Ｋ．Ｆ,7000
5,190,783,株式会社ＳＫＢ,7000
6,190,796,株式会社コーシンパートナーズ,7000
7,190,818,ＦＩＸＥＲ株式会社,7000
8,190,853,アイティープラス株式会社,7000
9,190,858,医療法人社団紀会,7000
10,190,918,株式会社ゆうき,7000
11,190,919,スマートネクスト株式会社,7000
12,190,927,有限会社中村設計,7000
13,190,947,合同会社Ｔａｋｅ,7000
14,190,960,株式会社ミウラ,7000
15,190,973,伊藤工業株式会社,7000
16,190,1029,味処かわの,7000
17,190,1205,ニュアンスヘア,7000
18,190,1281,おおえクリニック内科・糖尿病内科,7000
19,190,1297,フレームヘアー,7000
20,190,1428,ｂａｒＳｏｌａｓ,7000
21,190,1538,ＣＵＣＩＮＡＭＯＮＯ,7000
22,190,1820,きくま,7000
23,190,1986,ＡｋａｒｉＨａｉｒＳｔｕｄｉｏ,7000
24,190,1994,吟結はなもり,8000
25,190,9580,合同会社エム・プラス,9000
